Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    11859     0.00     0.00  caml_page_table_lookup
  0.00      0.00     0.00    10539     0.00     0.00  writeblock
  0.00      0.00     0.00     1583     0.00     0.00  caml_page_table_modify
  0.00      0.00     0.00     1036     0.00     0.00  writecode16
  0.00      0.00     0.00      731     0.00     0.00  writecode8
  0.00      0.00     0.00      525     0.00     0.00  caml_string_length
  0.00      0.00     0.00      289     0.00     0.00  camlChar__chr_1206
  0.00      0.00     0.00      256     0.00     0.00  camlChar__lowercase_1217
  0.00      0.00     0.00      109     0.00     0.00  caml_blit_bytes
  0.00      0.00     0.00      108     0.00     0.00  caml_blit_string
  0.00      0.00     0.00      107     0.00     0.00  caml_apply2
  0.00      0.00     0.00      104     0.00     0.00  caml_stat_alloc
  0.00      0.00     0.00       75     0.00     0.00  caml_page_table_add
  0.00      0.00     0.00       73     0.00     0.00  caml_alloc_string
  0.00      0.00     0.00       70     0.00     0.00  caml_process_pending_signals
  0.00      0.00     0.00       60     0.00     0.00  caml_create_bytes
  0.00      0.00     0.00       54     0.00     0.00  camlPervasives__$5e_1117
  0.00      0.00     0.00       51     0.00     0.00  parse_digit
  0.00      0.00     0.00       45     0.00     0.00  caml_alloc_small
  0.00      0.00     0.00       45     0.00     0.00  compare_val
  0.00      0.00     0.00       44     0.00     0.00  camlUtil__fun_4688
  0.00      0.00     0.00       42     0.00     0.00  camlLang__compare_2400
  0.00      0.00     0.00       42     0.00     0.00  caml_compare
  0.00      0.00     0.00       37     0.00     0.00  caml_modify
  0.00      0.00     0.00       34     0.00     0.00  caml_enter_blocking_section
  0.00      0.00     0.00       34     0.00     0.00  caml_leave_blocking_section
  0.00      0.00     0.00       28     0.00     0.00  caml_putblock
  0.00      0.00     0.00       27     0.00     0.00  caml_flush
  0.00      0.00     0.00       27     0.00     0.00  caml_flush_partial
  0.00      0.00     0.00       27     0.00     0.00  caml_ml_flush
  0.00      0.00     0.00       25     0.00     0.00  camlPervasives__output_string_1213
  0.00      0.00     0.00       25     0.00     0.00  caml_ml_output
  0.00      0.00     0.00       25     0.00     0.00  caml_ml_output_bytes
  0.00      0.00     0.00       24     0.00     0.00  camlUtil__pnt_1204
  0.00      0.00     0.00       24     0.00     0.00  caml_write_fd
  0.00      0.00     0.00       20     0.00     0.00  caml_alloc_custom
  0.00      0.00     0.00       19     0.00     0.00  camlUtil__hash_1276
  0.00      0.00     0.00       19     0.00     0.00  caml_fresh_oo_id
  0.00      0.00     0.00       18     0.00     0.00  caml_alloc_small_with_my_or_given_profinfo
  0.00      0.00     0.00       17     0.00     0.00  caml_make_vect
  0.00      0.00     0.00       15     0.00     0.00  camlMap__Make_1243
  0.00      0.00     0.00       15     0.00     0.00  camlMap__fun_2919
  0.00      0.00     0.00        8     0.00     0.00  camlMap__find_1303
  0.00      0.00     0.00        8     0.00     0.00  caml_string_is_c_safe
  0.00      0.00     0.00        7     0.00     0.00  camlArray__fold_left_1304
  0.00      0.00     0.00        7     0.00     0.00  camlUtil__compare_1287
  0.00      0.00     0.00        7     0.00     0.00  caml_alloc_channel
  0.00      0.00     0.00        7     0.00     0.00  caml_alloc_sprintf
  0.00      0.00     0.00        7     0.00     0.00  caml_gc_message
  0.00      0.00     0.00        7     0.00     0.00  caml_int_compare
  0.00      0.00     0.00        6     0.00     0.00  allocate_block
  0.00      0.00     0.00        6     0.00     0.00  camlPervasives__string_of_int_1150
  0.00      0.00     0.00        6     0.00     0.00  camlWeak__create_1352
  0.00      0.00     0.00        6     0.00     0.00  caml_fl_allocate
  0.00      0.00     0.00        6     0.00     0.00  caml_format_int
  0.00      0.00     0.00        6     0.00     0.00  caml_insert_global_root
  0.00      0.00     0.00        6     0.00     0.00  caml_int64_float_of_bits_unboxed
  0.00      0.00     0.00        6     0.00     0.00  caml_register_global_root
  0.00      0.00     0.00        6     0.00     0.00  caml_secure_getenv
  0.00      0.00     0.00        6     0.00     0.00  caml_stat_free
  0.00      0.00     0.00        6     0.00     0.00  parse_format
  0.00      0.00     0.00        5     0.00     0.00  camlLang__print_2292
  0.00      0.00     0.00        5     0.00     0.00  caml_alloc
  0.00      0.00     0.00        5     0.00     0.00  caml_alloc_shr
  0.00      0.00     0.00        5     0.00     0.00  caml_ephe_create
  0.00      0.00     0.00        5     0.00     0.00  caml_open_descriptor_in
  0.00      0.00     0.00        5     0.00     0.00  caml_register_custom_operations
